armstrong,1829
boozer),1824
bridges),1820
sims,1817
mcconnell),1814
greene,1813
dinwiddie),1812
ezeli,1810
olynyk),1810
dotson,1809
ridnour),1807
siakam),1804
clarkson),1804
maynor,1791
(a.,1789
crowder),1786
felício,1779
thybulle,1769
i̇lyasova),1765
quickley,1763
belinelli),1756
okafor),1753
dudley),1750
beasley),1749
vanvleet),1747
okoro,1746
ojeleye,1740
ingram),1720
vassell,1719
peace),1717
prigioni,1716
foye),1715
mcgee),1712
nurkić),1707
bowen,1705
fultz,1704
whiteside),1702
udoka,1697
rozier),1688
granger),1688
thornton),1686
caldwell-pope),1683
reddish,1683
odom),1679
path,1676
clear,1676
kapono,1673
stackhouse,1665
isaac,1660
mayo),1649
nunn,1647
horton-tucker,1633
szczerbiak,1633
fisher),1632
afflalo),1627
bazemore),1624
burks),1624
dorsey,1623
bacon,1617
graham),1610
hamilton),1608
hartenstein,1608
(poss.,1606
sefolosha),1601
stephenson),1593
mccants,1590
carney,1589
douglas-roberts,1586
kirilenko),1581
salmons),1578
covington),1577
bayless),1573
carroll),1572
achiuwa,1561
aminu),1552
dunleavy),1551
paschall,1550
hardaway),1542
pokusevski,1540
alexander-walker,1538
iwundu,1535
oberto,1528
(l.,1528
diop,1524
lauvergne,1524
morant),1521
capela),1520
porziņģis),1517
oden,1517
brogdon),1515
nesterović,1512
henderson),1511
henry,1510
roy),1509
hawes),1506
nájera,1503
weems,1495
rivers),1492
jamison),1492
eubanks,1489
kilpatrick,1486
shved,1485
fredette,1483
bradley),1477
biyombo),1476
claxton,1468
maledon,1467
dribble),1465
(b.,1464
mykhailiuk,1459
blatche),1456
freedom),1453
beaubois,1449
vásquez),1448
arroyo,1444
mejri,1444
labissière,1444
harrell),1438
levert),1437
daniels),1435
vincent,1432
childress,1431
ross),1428
price),1421
gilgeous-alexander),1419
miles),1419
perkins),1418
bass),1418
lucas,1411
gadzuric,1399
dieng),1398
temple),1397
dellavedova),1393
(s.,1392
roby,1390
tinsley,1389
stiemsma,1388
cunningham),1385
head,1382
marion),1379
dekker,1366
lamb),1363
arcidiacono,1358
okongwu,1355
antić,1353
layman,1345
lewis),1344
moore),1344
battier),1343
ayres,1334
elson,1332
mccaw,1331
faried),1326
ferguson,1325
mathews,1325
waiters),1320
three,1318
seconds,1318
peterson,1317
wanamaker,1317
bell),1315
jersey,1310
brissett,1309
okeke,1309
metu,1302
parsons),1297
thabeet,1296
strus,1296
kelly,1295
moute),1294
noel),1287
sloan,1285
harpring,1283
nader,1281
giles,1281
bates-diop,1281
camby),1278
á.,1276
(g.,1266
bargnani),1261
satoranský),1258
frye),1255
barbosa),1246
varejão),1244
(back,1231
court),1231
31,1231
veselý,1220
culver,1218
sacre,1217
burke),1213
farmar),1209
mahinmi),1202
humphries),1198
giddey,1198
nance),1193
maggette),1189
hield),1188
oubre),1186
pritchard,1186
bibby),1184
nowell,1182
(challenge:,1181
vaughn,1180
withey,1177
little,1177
toscano-anderson,1172
wafer,1169
mckinnie,1166
landry),1166
duhon),1164
brand),1163
iverson),1162
jenkins,1158
toppin,1157
dalembert),1153
bitadze,1149
iii,1139
brunson),1137
selden,1136
shumpert),1133
speights),1131
harkless),1128
poeltl),1124
kornet,1121
mclaughlin,1120
andersen),1117
abrines,1117
tillman,1111
şengün,1110
hampton,1106
boykins,1102
copeland,1102
kaman),1101
patterson),1100
kurucs,1099
wilson,1098
hickson),1097
ulis,1094
len),1085
konchar,1082
o'bryant,1077
magloire,1068
delaney,1067
(p.,1064
hairston,1063
kuzma),1062
battie,1055
cauley-stein),1050
ayón,1049
mason),1044
mack),1041
cardinal,1037
mudiay),1030
bennett,1029
sexton),1029
henson),1025
quinn,1025
adrien,1021
splitter),1018
payne),1013
casspi),1013
ford),1007
ratliff,1001
nwora,1000
kidd-gilchrist),999
mccallum,998
telfair),998
harrington),997
campazzo,993
tolliver),991
garland),984
balkman,984
freeland,965
jarić,961
skinner,959
dosunmu,949
law,947
suggs,947
hassell,943
mcrae,940
o'neale),940
barron,938
cole),938
ennis),932
turiaf),931
nachbar,930
haliburton),928
hyland,927
mcgrady),925
šarić),923
hart),921
maxiell),920
dozier,919
hollis-jefferson),916
haslem),910
ellington),910
pressey,905
samuels,905
harrison),899
bjelica),888
(discontinued,887
koufos),887
swift,885
winslow),885
kispert,882
zubac),880
portis),879
huerter),876
hood),876
haywood),874
mcroberts),874
hansbrough),874
jerebko),873
calathes,872
whitehead,868
wells,866
stevens,866
(palming),865
hernangómez),859
coffey,855
napier),854
dunn),850
garcía),850
mozgov),849
(e.,847
aşık),846
duarte,845
jerome,844
ayton),843
clark),843
douglas),842
blount,841
žižić,840
mirotić),839
haddadi,838
frazier),837
meeks),836
o'quinn),836
type,835
fernando,833
crittenton,833
nesmith,826
hutchison,825
holmes),824
alston),821
brockman,819
osman),818
house),817
scalabrine,816
mclemore),816
delfino),816
langford,815
spellman,814
webster),813
warrick),812
neto),812
ely,811
barrett),811
caruso),810
dedmon),802
navarro,800
warren),800
edwards),799
nogueira,798
baynes),794
diener,794
finney-smith),792
gooden),790
bonga,790
robinson-earl,789
galloway),786
poole),781
murphy),781
villanueva),781
melton),781
looney),780
fesenko,779
watanabe,777
markkanen),774
okobo,774
32,773
wood),772
thornwell,768
dooling),767
mcdaniels),767
walton),767
trier,767
de,765
kaminsky),763
anunoby),763
rush),762
outlaw),760
washington),757
arthur),753
alvarado,747
liggins,745
gaines,745
morrow),745
rodríguez),744
sumner,742
cassell,739
okur),734
marshall),734
kuminga,729
lyles),729
zipser,728
blair),727
wagner),722
sullinger),718
marbury,716
ilunga-mbenga,711
flynn),706
gee),704
doumbouya,704
cook),703
wiseman,702
(turnover),700
marks,698
snell),698
christopher,692
ming),692
monk),690
hunter),686
melli,685
biedriņš),681
leaf,678
fernández),677
reaves,677
gomes),674
wilkins),671
peković),669
herro),664
prigioni),659
stoudamire,658
tyler,657
mobley),656
(jump,647
udoh),646
mann),645
caboclo,645
theis),644
hollins),644
roberts),643
larkin),639
forbes),633
bembry),633
kleber),632
neal),632
connaughton),631
pargo),630
taylor),629
rabb,628
posey),622
mcdyess),618
stevenson),617
diallo),613
bertāns),613
muscala),610
scott),607
jeffries),605
redd),604
bonner),602
(n.,599
maynor),598
ilgauskas),597
goodwin),597
douby,597
play,596
divincenzo),596
away,596
buckner,594
piétrus),591
colo,589
chriss),589
wolters,588
vujačić),587
fultz),585
tinsley),583
arenas),583
(dbl,578
dixon,576
budinger),576
gabriel,574
bullock),573
barry,571
diogu,571
maxey),571
amundson),570
gill,570
elleby,569
mcdermott),567
hezonja),564
mcadoo,561
hughes),558
atkins,557
williamson),556
landale,555
crabbe),554
nnaji,554
wroten),552
ferrell),552
teodosić,552
mohammed),550
kennard),549
davies,546
garrett,545
pecherov,544
wilcox),541
blakeney,540
ntilikina),539
boucher),539
miličić),538
hummel,536
trent),535
nocioni),534
milton),529
claver,528
ollie,526
